"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","유원시설업(기타)","03_07_08_P","3180000","CDFI5272002014000005","20141204","","02","휴업","02","휴업","","20190109","20220108","","070-4348-2048","","150945","서울특별시 영등포구 여의도동 23번지 여의도 국제금융센터","서울특별시 영등포구 국제금융로 10 (여의도동, 여의도 국제금융센터)","07326","EBS KIDSVILL","20190109170636","U","2019-01-11 02:40:00.0","","193326.931018911","446973.914570276","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","99","","0","","","","","","","0","","","","99",
"2","유원시설업(기타)","03_07_08_P","3590000","CDFI5272002013000001","20130319","","02","휴업","02","휴업","","20151215","20161214","","231-1560","","501150","광주광역시 동구 지산동 산 63-1번지","광주광역시 동구 지호로164번길 14-10, 지하2층 (지산동)","501150","매직점프","20151215141124","I","2018-08-31 23:59:59.0","","195261.202848","183146.892507","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","",
"3","유원시설업(기타)","03_07_08_P","3450000","CDFI5272002018000004","20180614","","02","휴업","02","휴업","","20201228","20211227","","","","","대구광역시 북구 동천동 895-4","대구광역시 북구 동암로 104, 4층 (동천동)","41423","스카이점핑랜드 칠곡점","20220930155557","U","2022-10-02 02:40:00.0","","340903.294158","272648.099805","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","1종 2대(붕붕뜀틀-트램펄린, 트램펄린 유아용)","0","","","","","","","0","","","","0",
"4","유원시설업(기타)","03_07_08_P","4500000","CDFI5272002014000001","20140801","","02","휴업","02","휴업","","20200724","20230720","","041-841-5220","","314872","충청남도 공주시 사곡면 운암리 511-1","충청남도 공주시 사곡면 유구마곡사로 1231","32520","(주)농업회사법인장승마을","20220712135240","U","2022-07-14 02:40:00.0","","201851.48295","339572.990262","신고유원시설업","","관리지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","Y","","Y","Y","","","0","","","","0",
"5","유원시설업(기타)","03_07_08_P","4520000","CDFI5272002016000002","20161104","","02","휴업","02","휴업","","20220921","20230920","","041-544-0079","","","충청남도 아산시 신창면 남성리 189-12","충청남도 아산시 신창면 남성길 134, 303호","31530","쁘띠몽드키즈카페 신창점","20220922131513","U","2022-09-24 02:40:00.0","","196047.48624600000","365807.07939900000","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","유원시설업(기타)","03_07_08_P","4600000","CDFI5272002017000001","20170331","","02","휴업","02","휴업","","20201008","20210630","","","","","충청남도 홍성군 홍북읍 상하리 88-19","충청남도 홍성군 홍북면 용봉산1길 15","32251","용봉산글램핑유원시설","20201008141723","U","2020-10-10 02:40:00.0","","169689.846018","349246.056695","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",
"7","유원시설업(기타)","03_07_08_P","4600000","CDFI5272002018000001","20180205","","02","휴업","02","휴업","","20201020","20201231","","","","","충청남도 홍성군 홍성읍 내법리 409-20","충청남도 홍성군 홍성읍 도청대로 136, 4층","32217","룰루랄라키즈카페","20201020125948","U","2020-10-22 02:40:00.0","","169958.900092","346238.10489","신고유원시설업","","근린상업지역","4","","","","근린생활시설","4","","","","","","","","","","","","","","","1","","","","","","","","","","","",
"8","유원시설업(기타)","03_07_08_P","4550000","CDFI5272002015000001","20150730","","02","휴업","02","휴업","","20220607","20230606","","","","312944","충청남도 금산군 추부면 성당리 2-2","충청남도 금산군 추부면 성당로 247","32710","서대산드림테마파크(","20220607174848","U","2022-06-09 02:40:00.0","","247966.691892","303872.351387","신고유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"9","유원시설업(기타)","03_07_08_P","5590000","CDFI5272002015000004","20150917","","02","휴업","02","휴업","","20210426","20220426","","031-844-6346","","","경기도 양주시 광사동 656-5","경기도 양주시 고읍남로 5-20, 2층 203호 (광사동, 솔리더스 빌딩)","11492","키즈앤팡","20210428180727","U","2021-04-30 02:40:00.0","","207007.740679268","476882.863310379","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"10","유원시설업(기타)","03_07_08_P","3480000","CDFI5272002019000001","20190517","","02","휴업","02","휴업","","20210301","20210319","","053-608-5000","","","대구광역시 달성군 가창면 냉천리 27-9","대구광역시 달성군 가창면 가창로 891","42938","네이처파크","20210318153133","U","2021-03-20 02:40:00.0","","347783.240397","255360.475912","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"11","유원시설업(기타)","03_07_08_P","4390000","CDFI5272002019000006","20190424","","02","휴업","02","휴업","","20220701","20221231","","043-843-3207","","","충청북도 충주시 연수동 1674","충청북도 충주시 국원초4길 19, 대신빌딩 1층 (연수동)","27372","신나는 꾸러기 방방","20220624094418","U","2022-06-26 02:40:00.0","","283923.906299","387159.629361","신고유원시설업","","","","","","","","5","","","","","","","","","","","","","212.1","","","","","","","","","","","","","212",
"12","유원시설업(기타)","03_07_08_P","4280000","CDFI5272002019000001","20190509","","02","휴업","02","휴업","","20191021","20200421","","033-330-8227","","","강원도 평창군 대관령면 용산리 130 용평리조트","강원도 평창군 대관령면 올림픽로 715, 용평리조트","25352","썬모터스","20201104193959","U","2020-11-06 02:40:00.0","","348259.144297645","461699.273918609","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13","유원시설업(기타)","03_07_08_P","5120000","CDFI5272002015000001","20150529","","02","휴업","02","휴업","","20160923","20170530","","054-554-3500","","745812","경상북도 문경시 호계면 별암리 314-5","경상북도 문경시 호계면 상무로 317-1","36930","소풍모텔","20201203133222","U","2020-12-05 02:40:00.0","","306041.265186652","349935.693276299","신고유원시설업","","관리지역","","기타","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"14","유원시설업(기타)","03_07_08_P","5210000","CDFI5272002017000001","20170406","","02","휴업","02","휴업","","20220101","20221231","","053-551-2000","","","경상북도 성주군 대가면 대천리 3-1","경상북도 성주군 대가면 참별로 1718-1 (성주푸른문화촌)","40054","성주문화촌 추억박물관","20211216101906","U","2021-12-18 02:40:00.0","","307222.328586361","265811.279998128","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",
"15","유원시설업(기타)","03_07_08_P","5050000","CDFI5272002016000001","20160401","","02","휴업","02","휴업","","20210702","20221228","","","","","경상북도 경주시 천군동 157-3","경상북도 경주시 엑스포로 80 (천군동)","38118","정글헌터","20210706113337","U","2021-07-08 02:40:00.0","","406815.785321573","261807.39366569","신고유원시설업","","자연녹지지역","4","기타","","","근린생활시설","3","1","","","","","","","","","","","","99","트램폴린 2대","2","","","","","","","","","","","99",
"16","유원시설업(기타)","03_07_08_P","5130000","CDFI5272002014000002","20140808","","02","휴업","02","휴업","","20190401","20200331","","801-4700","","712753","경상북도 경산시 백천동 115-7번지 윤성상가 3층(104-301)","경상북도 경산시 백천길 27, 104동 3층 301호 (백천동, 윤성상가 3층)","38649","헬로방방","20190729130544","U","2019-07-31 02:40:00.0","","357423.177476165","257463.806539819","신고유원시설업","","","","","","","","","","","","","","","","","","","","","198","붕붕뜀틀 2대","","","","","","","","","","","","198",
"17","유원시설업(기타)","03_07_08_P","4640000","CDFI5272002017000011","20171220","","02","휴업","02","휴업","","20220427","20230426","","","","","전라북도 전주시 덕진구 덕진동1가 1261-20","전라북도 전주시 덕진구 명륜4길 17-5, 3층 (덕진동1가)","54898","사이버존 테마파크","20220427171751","U","2022-04-29 02:40:00.0","","211336.77306","260395.145669","신고유원시설업","","일반상업지역","3","기타","","","근린생활시설","3","0","0","0","","","0","0","","0","0","","0","346.37","미니농구 2, 다이니믹시트 1, 미니시물레이션 2","5","","","","","","","0","","","","346",
"18","유원시설업(기타)","03_07_08_P","4640000","CDFI5272002011000002","20111027","","02","휴업","02","휴업","","20220701","20221231","","","","","전라북도 전주시 완산구 중화산동2가 784-1 스파라쿠아","전라북도 전주시 완산구 신촌3길 24, 스파라쿠아 3층 (중화산동2가)","54975","(유)스파라쿠아","20220704175521","U","2022-07-06 02:40:00.0","","210373.888274","257490.996606","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"19","유원시설업(기타)","03_07_08_P","4640000","CDFI5272002014000002","20140729","","02","휴업","02","휴업","","20180616","20190730","","063-232-6998","","560835","전라북도 전주시 완산구 중화산동1가 329번지","전라북도 전주시 완산구 안행로 173, 지하1층 (중화산동1가)","55048","그로잉 실내방방","20180717111557","I","2018-08-31 23:59:59.0","","211778.280784","256810.975251","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","",
"20","유원시설업(기타)","03_07_08_P","4670000","CDFI5272002017000001","20170320","","02","휴업","02","휴업","","20220916","20230916","","063-467-0920","","","전라북도 군산시 나운동 527-41","전라북도 군산시 나운로 13 (나운동, 시티스포츠 7층)","54135","차타타 군산점","20220916145242","U","2022-09-18 02:40:00.0","","173261.266404","274388.498492","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","",
"21","유원시설업(기타)","03_07_08_P","6510000","CDFI5272002015000003","20150702","","02","휴업","02","휴업","","20210421","20230421","","064-724-8777","","690090","제주특별자치도 제주시 봉개동 1609-1","제주특별자치도 제주시 진목3길 59 (봉개동)","63327","가연이네 주말농장","20210421170842","U","2021-04-23 02:40:00.0","","162896.278639","-361.57217638","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","안전교육이수(19.11.29.)","","","","","","","","","","","","",
"22","유원시설업(기타)","03_07_08_P","6510000","CDFI5272001999000001","19990708","","02","휴업","02","휴업","","20210101","20221231","","064-724-5775","","690808","제주특별자치도 제주시 삼도이동 1259","제주특별자치도 제주시 탑동로 38 (삼도이동)","","키드랜드","20210106110231","U","2021-01-08 02:40:00.0","","155386.294321","2511.37601255","신고유원시설업","","상업지역","5","기타","","","","","","","","","","","","","","","","","","유기기구10종10대(헬리콥터,오토바이,말,코끼리,자동차,탱크,시소,포크레인,산타크로스,낙타)","10","","","","","","","","","","","",
"23","유원시설업(기타)","03_07_08_P","4000000","CDFI5272002017000005","20170712","","02","휴업","02","휴업","","20200521","20220601","","031-373-8271","","","경기도 오산시 내삼미동 512-2번지","경기도 오산시 경기대로658번길 45 (내삼미동)","18112","드림스포츠팩토리","20200521101959","U","2020-05-23 02:40:00.0","","204946.507874482","408871.632055896","신고유원시설업","","","","","","","","","","","","","","","","","","","","","450","","1","","","","","","","","","","","450",
"24","유원시설업(기타)","03_07_08_P","4050000","CDFI5272002014000001","20140515","","02","휴업","02","휴업","","20220716","20230716","","0313382001","","449821","경기도 용인시 처인구 양지면 남곡리 18-2 양지파인리조트","경기도 용인시 처인구 양지면 남평로 112, 1층 (양지파인리조트)","17164","키즈클럽","20220621173519","U","2022-06-23 02:40:00.0","","226084.216429172","412344.329898918","신고유원시설업","","","","","","","","","","","","","","","","","","","","","104.28","","1","","","","","","","","","","","104",
"25","유원시설업(기타)","03_07_08_P","4140000","CDFI5272002017000002","20170703","","02","휴업","02","휴업","","20210701","20220630","","","","","경기도 연천군 전곡읍 전곡리 696-3","경기도 연천군 전곡읍 선사로 76","11027","한탄강관광지 놀이존","20210709101655","U","2021-07-11 02:40:00.0","","205090.346230457","500676.000527302","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",
"26","유원시설업(기타)","03_07_08_P","4170000","CDFI5272002019000001","20190717","","02","휴업","02","휴업","","20190828","20200827","","","","","경기도 양평군 옥천면 신복리 141-5번지","경기도 양평군 옥천면 신촌길 188","12505","아희레저","20190829090807","U","2019-08-31 02:40:00.0","","240309.055043118","451717.810841809","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"27","유원시설업(기타)","03_07_08_P","3860000","CDFI5272002019000015","20191001","","02","휴업","02","휴업","","20220717","20221016","","","","","경기도 부천시 상동 572-1 부천체육문화센터","경기도 부천시 조마루로 2, 부천체육문화센터 (상동)","14592","육해공레져","20220816173528","U","2022-08-18 02:40:00.0","","177375.85295174","444220.013858635","신고유원시설업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
